frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,sclk,sol
SITE,1,-1,-1,0,0,0,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441633,-4501.04,2101.07,23092.89,526.19,5773.73,0,0,0,397502188,0
ROVER,1,0,0,0,0,0,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441633,-4501.04,2101.07,23092.89,526.19,5773.73,-2.414,-3.612,112.722,397502188,0
SITE,2,-1,-1,0,0,0,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441633,-4501.04,2101.07,23092.89,526.19,5773.73,0,0,0,397673022,2
ROVER,2,0,0,0,0,0,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441633,-4501.04,2101.07,23092.89,526.19,5773.73,-2.422,-3.618,111.519,397673022,2
SITE,3,-1,-1,0,0,0,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441633,-4501.04,2101.07,23092.89,526.19,5773.73,0,0,0,397937710,5
ROVER,3,0,0,0,0,0,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441633,-4501.04,2101.07,23092.89,526.19,5773.73,-2.422,-3.618,111.519,397937710,5
ROVER,3,78,-1,0.118,5.987,0.17,-272039.15,8146817.21,-4.589465001,-4.64373603,137.441734,-4501.21,2100.6,23116.84,526.07,5779.72,-1.329,5.414,-132.025,398917746,16
ROVER,3,100,-1,3.922,3.14,0.44,-272035.346,8146814.363,-4.58940083,-4.643671107,137.441686,-4501.48,2085.38,23105.45,522.27,5776.87,-2.905,4.657,-164.689,399361043,21
ROVER,3,260,-1,3.786,15.384,1.34,-272035.482,8146826.607,-4.589403124,-4.643673428,137.4418925,-4502.38,2085.93,23154.43,522.41,5789.11,-1.283,-4.294,64.617,399450377,22
ROVER,3,372,-1,1.188,32.502,1.56,-272038.08,8146843.725,-4.589446954,-4.643717772,137.4421813,-4502.6,2096.32,23222.9,525,5806.23,-1.37,-1.65,116.5,399622879,24
ROVER,3,530,-1,-16.736,49.968,1.99,-272056.004,8146861.191,-4.589749343,-4.644023705,137.442476,-4503.03,2168.02,23292.76,542.93,5823.7,0.25,-1.391,45.225,399803902,26
SITE,4,-1,-1,-38.781,74.736,2.49,-272078.049,8146885.959,-4.590121255,-4.644399977,137.4428938,-4503.53,2256.2,23391.84,564.97,5848.47,0,0,0,400069973,29
ROVER,4,0,4,-38.781,74.736,2.49,-272078.049,8146885.959,-4.590121255,-4.644399977,137.4428938,-4503.53,2256.2,23391.84,564.97,5848.47,-2.318,2.844,-120.443,400069973,29
ROVER,4,404,-1,-46.027,98.906,3.58,-272085.295,8146910.129,-4.5902435,-4.644523654,137.4433016,-4504.62,2285.18,23488.52,572.22,5872.64,-3.112,-0.271,90.57,400867743,38
ROVER,4,468,-1,-50.472,120.343,3.66,-272089.74,8146931.566,-4.590318489,-4.644599523,137.4436633,-4504.7,2302.96,23574.26,576.66,5894.07,-6.185,2.205,85.532,400954875,39
ROVER,4,916,-1,-33.755,150.834,3.41,-272073.023,8146962.057,-4.590036464,-4.644314191,137.4441777,-4504.45,2236.09,23696.23,559.95,5924.56,0.859,0,89.246,401046242,40
ROVER,4,1238,-1,-22.502,174.738,3.84,-272061.77,8146985.961,-4.589846619,-4.644122121,137.4445809,-4504.88,2191.08,23791.84,548.69,5948.47,-1.775,-0.962,89.246,401133455,41
ROVER,4,1632,-1,-34.062,202.595,6.14,-272073.33,8147013.818,-4.590041643,-4.644319431,137.4450509,-4507.18,2237.32,23903.27,560.25,5976.33,-1.932,-3.781,109.8,401224041,42
ROVER,4,2002,-1,-59.822,217.982,6.87,-272099.09,8147029.205,-4.59047623,-4.644759112,137.4453105,-4507.91,2340.36,23964.82,586.01,5991.71,-0.906,-3.452,82.028,401314567,43
ROVER,4,2100,-1,-57.382,220.187,7.02,-272096.65,8147031.41,-4.590435065,-4.644717465,137.4453477,-4508.06,2330.6,23973.64,583.57,5993.92,-3.628,-1.454,124.338,401490801,45
