Observation,Sol,NoParenSol,Target_Name,Silicon_Oxide(SiO2),RMSE_Silicon_Oxide,Silicon_Oxide_StDEV,Titanium_Oxide(TiO2),RMSE_Titanium_Oxide,Titanium_Oxide_StDEV,Aluminum_Oxide(AI2O3),RMSE_Aluminum_Oxide,Aluminum_Oxide_StDEV,Iron_Oxides_Total(FeOT),RMSE_Iron_Oxide_Total,Iron_Oxide_Total_StDEV,Magnesium_Oxide(MgO),RMSE_Magnesium_Oxide,Magnesium_Oxide_StDEV,Calcium_Oxide(CaO),RMSE_Calcium_Oxide,Calcium_Oxide_StDEV,Sodium_Oxide(Na2O),RMSE_Sodium_Oxide,Sodium_Oxide_StDEV,Potassium_Oxide(K2O),RMSE_Potassium_Oxide,Potassium_Oxide_StDEV,Sum_of_Oxides,Distance_Rover_m,Spectrum_Total
CL5_398645626CCS_F0030004CCAM02013P3.CSV,13,13,Coronation,45.8,5,0.4,0.97,0.49,0.02,11.6,3.6,0.5,17.9,3.9,0.3,4,1.7,0.1,8.4,2.6,0.2,3.79,0.67,0.18,0.66,0.72,0.03,93.11,2.70011,1.02E+15
CL5_398646038CCS_F0030004CCAM03013P3.CSV,13,13,NAu-2_Med-S,40,5.5,0.7,0.63,0.4,0.01,6.3,3.2,0.1,17.2,3.7,0.1,1.9,1.6,0.2,15,3.4,0.6,1.03,0.57,0.03,0.17,0.55,0.01,82.14,1.58076,4.12E+14
CL5_398737278CCS_F0030004CCAM02014P3.CSV,14,14,Goulburn_3,47.4,4.9,3.5,7.24,3.29,4.15,22.3,3.8,2.5,15.9,3.5,3.8,4.4,1.8,0.3,3.7,1.4,0.6,3.31,0.64,0.25,0.97,0.85,0.2,105.25,5.95906,2.10E+14
CL5_398825061CCS_F0030004CCAM01015P3.CSV,15,15,Goulburn_4,45.7,5,1.4,0.98,0.49,0.18,19.1,3.7,3.8,26.4,4.8,6.4,1.4,1.5,0.6,4.4,1.5,1.5,4.86,0.86,0.97,0.59,0.69,0.16,103.34,5.81117,5.17E+14
CL5_398825848CCS_F0030004CCAM03015P3.CSV,15,15,Stark,74.1,5.5,2,0.6,0.39,0.06,9.7,3.5,0.2,0.3,1.6,1.6,1.7,1.5,0.5,2.3,1,0.4,5.26,0.94,0.41,1.07,0.9,0.18,95.09,3.27253,2.71E+14
CL5_398826553CCS_F0030004CCAM05015P3.CSV,15,15,Mara,54.6,5.1,0.4,0.77,0.44,0.01,21.2,3.7,0.3,8.8,2.5,0.6,1.1,1.5,0.1,7.3,2.3,0.1,6.55,1.08,0.07,1.26,0.97,0.09,101.58,4.16691,2.61E+14
CL5_399178818CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,51.5,5,0.5,0.82,0.45,0.02,17.4,3.7,0.3,12.9,3.1,0.5,1.5,1.5,0.1,8.4,2.6,0.2,5.52,0.97,0.18,0.95,0.85,0.08,99.06,3.10065,6.37E+14
CL5_399178879CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,48.3,4.9,0.4,0.7,0.42,0.01,16.2,3.7,0.5,16.6,3.6,0.3,2.7,1.6,0.1,8.2,2.6,0.3,4.47,0.78,0.14,0.67,0.73,0.03,97.86,3.10065,7.51E+14
CL5_399178941CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,45.6,5,1.9,0.98,0.49,0.04,6.6,3.3,0.3,23.3,4.6,1.6,4.6,1.8,0.2,4.9,1.7,1,2.77,0.61,0.09,0.23,0.57,0.05,89.01,3.10065,1.32E+15
CL5_399179003CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,50,5,0.3,0.9,0.47,0.01,17.7,3.7,0.2,13.5,3.2,0.4,1.6,1.5,0.2,9.6,2.8,0.2,5.19,0.93,0.14,0.75,0.76,0.03,99.37,3.10065,7.65E+14
CL5_399179065CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,51.3,5,1.1,2.21,0.82,0.23,12.4,3.6,0.5,16.9,3.7,0.7,2.4,1.6,0.1,8,2.5,0.9,4.25,0.73,0.12,0.93,0.84,0.05,98.36,3.10065,8.72E+14
CL5_399179536CCS_F0030078CCAM02019P3.CSV,19,19,Goulburn_7,50.3,5,0.8,1.05,0.5,0.1,21.7,3.8,0.7,5.8,2.1,1,2.6,1.6,0.3,4.7,1.6,0.9,4.22,0.73,0.31,1.3,0.99,0.13,91.74,5.02842,1.37E+14
CL5_399179597CCS_F0030078CCAM02019P3.CSV,19,19,Goulburn_7,53.8,5.1,2.7,0.49,0.35,0.06,18.5,3.7,1.3,8.1,2.4,3.2,5.7,1.9,1.6,4.1,1.4,0.7,3.41,0.65,0.77,0.77,0.77,0.13,94.86,5.02842,1.91E+14
CL5_399179658CCS_F0030078CCAM02019P3.CSV,19,19,Goulburn_7,53.1,5.1,1.1,0.86,0.46,0.16,22.6,3.8,1,4.5,1.9,1.3,1.6,1.5,0.3,6.9,2.2,0.9,5.35,0.95,0.16,2.03,1.17,0.39,96.95,5.02842,1.22E+14
CL5_399179780CCS_F0030078CCAM02019P3.CSV,19,19,Goulburn_7,47.7,4.9,1.3,0.74,0.43,0.02,26.9,4,1.3,2.2,1.7,2,0.8,1.5,0.4,10.3,2.9,0.3,6.34,1.06,0.16,1.22,0.96,0.14,96.13,5.02842,9.23E+13
